 schemaname |            tablename             |                         indexname                         |                                                                       indexdef                                                                       
 public     | two_fa_backup_codes              | idx_two_fa_backup_codes_deleted_at                        | CREATE INDEX idx_two_fa_backup_codes_deleted_at ON public.two_fa_backup_codes USING btree (deleted_at)
 public     | two_fa_backup_codes              | idx_two_fa_backup_codes_user_id                           | CREATE INDEX idx_two_fa_backup_codes_user_id ON public.two_fa_backup_codes USING btree (user_id)
 public     | two_fa_backup_codes              | two_fa_backup_codes_pkey                                  | CREATE UNIQUE INDEX two_fa_backup_codes_pkey ON public.two_fa_backup_codes USING btree (id)
 public     | two_fas                          | idx_two_fas_deleted_at                                    | CREATE INDEX idx_two_fas_deleted_at ON public.two_fas USING btree (deleted_at)
 public     | two_fas                          | idx_two_fas_user_id                                       | CREATE INDEX idx_two_fas_user_id ON public.two_fas USING btree (user_id)
 public     | two_fas                          | two_fas_pkey                                              | CREATE UNIQUE INDEX two_fas_pkey ON public.two_fas USING btree (id)
 public     | two_fas                          | two_fas_user_id_key                                       | CREATE UNIQUE INDEX two_fas_user_id_key ON public.two_fas USING btree (user_id)
 public     | user_oauth_bindings              | idx_user_oauth_bindings_provider_id                       | CREATE INDEX idx_user_oauth_bindings_provider_id ON public.user_oauth_bindings USING btree (provider_id)
 public     | user_oauth_bindings              | idx_user_oauth_bindings_user_id                           | CREATE INDEX idx_user_oauth_bindings_user_id ON public.user_oauth_bindings USING btree (user_id)
 public     | user_oauth_bindings              | user_oauth_bindings_pkey                                  | CREATE UNIQUE INDEX user_oauth_bindings_pkey ON public.user_oauth_bindings USING btree (id)
 public     | user_oauth_bindings              | ux_provider_userid                                        | CREATE UNIQUE INDEX ux_provider_userid ON public.user_oauth_bindings USING btree (provider_id, provider_user_id)
 public     | user_oauth_bindings              | ux_user_provider                                          | CREATE UNIQUE INDEX ux_user_provider ON public.user_oauth_bindings USING btree (user_id, provider_id)
 public     | user_subscriptions               | idx_user_sub_active                                       | CREATE INDEX idx_user_sub_active ON public.user_subscriptions USING btree (user_id, status, end_time)
 public     | user_subscriptions               | idx_user_subscriptions_end_time                           | CREATE INDEX idx_user_subscriptions_end_time ON public.user_subscriptions USING btree (end_time)
 public     | user_subscriptions               | idx_user_subscriptions_next_reset_time                    | CREATE INDEX idx_user_subscriptions_next_reset_time ON public.user_subscriptions USING btree (next_reset_time)
 public     | user_subscriptions               | idx_user_subscriptions_plan_id                            | CREATE INDEX idx_user_subscriptions_plan_id ON public.user_subscriptions USING btree (plan_id)
 public     | user_subscriptions               | idx_user_subscriptions_status                             | CREATE INDEX idx_user_subscriptions_status ON public.user_subscriptions USING btree (status)
 public     | user_subscriptions               | idx_user_subscriptions_user_id                            | CREATE INDEX idx_user_subscriptions_user_id ON public.user_subscriptions USING btree (user_id)
 public     | user_subscriptions               | user_subscriptions_pkey                                   | CREATE UNIQUE INDEX user_subscriptions_pkey ON public.user_subscriptions USING btree (id)
 public     | users                            | idx_users_access_token                                    | CREATE UNIQUE INDEX idx_users_access_token ON public.users USING btree (access_token)
 public     | users                            | idx_users_aff_code                                        | CREATE UNIQUE INDEX idx_users_aff_code ON public.users USING btree (aff_code)
 public     | users                            | idx_users_deleted_at                                      | CREATE INDEX idx_users_deleted_at ON public.users USING btree (deleted_at)
 public     | users                            | idx_users_deleted_status                                  | CREATE INDEX idx_users_deleted_status ON public.users USING btree (deleted_at, status)
 public     | users                            | idx_users_discord_id                                      | CREATE INDEX idx_users_discord_id ON public.users USING btree (discord_id)
 public     | users                            | idx_users_display_name                                    | CREATE INDEX idx_users_display_name ON public.users USING btree (display_name)
 public     | users                            | idx_users_email                                           | CREATE INDEX idx_users_email ON public.users USING btree (email)
 public     | users                            | idx_users_git_hub_id                                      | CREATE INDEX idx_users_git_hub_id ON public.users USING btree (github_id)
 public     | users                            | idx_users_group                                           | CREATE INDEX idx_users_group ON public.users USING btree ("group")
 public     | users                            | idx_users_inviter_id                                      | CREATE INDEX idx_users_inviter_id ON public.users USING btree (inviter_id)
 public     | users                            | idx_users_linux_do_id                                     | CREATE INDEX idx_users_linux_do_id ON public.users USING btree (linux_do_id)
 public     | users                            | idx_users_oidc_id                                         | CREATE INDEX idx_users_oidc_id ON public.users USING btree (oidc_id)
 public     | users                            | idx_users_request_count                                   | CREATE INDEX idx_users_request_count ON public.users USING btree (request_count)
 public     | users                            | idx_users_stripe_customer                                 | CREATE INDEX idx_users_stripe_customer ON public.users USING btree (stripe_customer)
 public     | users                            | idx_users_telegram_id                                     | CREATE INDEX idx_users_telegram_id ON public.users USING btree (telegram_id)
 public     | users                            | idx_users_username                                        | CREATE INDEX idx_users_username ON public.users USING btree (username)
 public     | users                            | idx_users_we_chat_id                                      | CREATE INDEX idx_users_we_chat_id ON public.users USING btree (wechat_id)
 public     | users                            | users_pkey                                                | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
 public     | users                            | users_username_key                                        | CREATE UNIQUE INDEX users_username_key ON public.users USING btree (username)
 public     | vendors                          | idx_vendors_deleted_at                                    | CREATE INDEX idx_vendors_deleted_at ON public.vendors USING btree (deleted_at)
 public     | vendors                          | uk_vendor_name_delete_at                                  | CREATE UNIQUE INDEX uk_vendor_name_delete_at ON public.vendors USING btree (name, deleted_at)
 public     | vendors                          | vendors_pkey                                              | CREATE UNIQUE INDEX vendors_pkey ON public.vendors USING btree (id)
(144 rows)

