            table_name            |        column_name         |        data_type         | character_maximum_length | is_nullable |                        column_default                        
 subscription_pre_consume_records | id                         | bigint                   |                          | NO          | nextval('subscription_pre_consume_records_id_seq'::regclass)
 subscription_pre_consume_records | request_id                 | character varying        |                       64 | YES         | 
 subscription_pre_consume_records | user_id                    | bigint                   |                          | YES         | 
 subscription_pre_consume_records | user_subscription_id       | bigint                   |                          | YES         | 
 subscription_pre_consume_records | pre_consumed               | bigint                   |                          | NO          | 0
 subscription_pre_consume_records | status                     | character varying        |                       32 | YES         | 
 subscription_pre_consume_records | created_at                 | bigint                   |                          | YES         | 
 subscription_pre_consume_records | updated_at                 | bigint                   |                          | YES         | 
 tasks                            | id                         | bigint                   |                          | NO          | nextval('tasks_id_seq'::regclass)
 tasks                            | created_at                 | bigint                   |                          | YES         | 
 tasks                            | updated_at                 | bigint                   |                          | YES         | 
 tasks                            | task_id                    | character varying        |                      191 | YES         | 
 tasks                            | platform                   | character varying        |                       30 | YES         | 
 tasks                            | user_id                    | bigint                   |                          | YES         | 
 tasks                            | group                      | character varying        |                       50 | YES         | 
 tasks                            | channel_id                 | bigint                   |                          | YES         | 
 tasks                            | quota                      | bigint                   |                          | YES         | 
 tasks                            | action                     | character varying        |                       40 | YES         | 
 tasks                            | status                     | character varying        |                       20 | YES         | 
 tasks                            | fail_reason                | text                     |                          | YES         | 
 tasks                            | submit_time                | bigint                   |                          | YES         | 
 tasks                            | start_time                 | bigint                   |                          | YES         | 
 tasks                            | finish_time                | bigint                   |                          | YES         | 
 tasks                            | progress                   | character varying        |                       20 | YES         | 
 tasks                            | properties                 | json                     |                          | YES         | 
 tasks                            | private_data               | json                     |                          | YES         | 
 tasks                            | data                       | json                     |                          | YES         | 
 tokens                           | id                         | bigint                   |                          | NO          | nextval('tokens_id_seq'::regclass)
 tokens                           | user_id                    | bigint                   |                          | YES         | 
 tokens                           | key                        | character varying        |                      128 | YES         | 
 tokens                           | status                     | bigint                   |                          | YES         | 1
 tokens                           | name                       | text                     |                          | YES         | 
 tokens                           | created_time               | bigint                   |                          | YES         | 
 tokens                           | accessed_time              | bigint                   |                          | YES         | 
 tokens                           | expired_time               | bigint                   |                          | YES         | '-1'::integer
 tokens                           | remain_quota               | bigint                   |                          | YES         | 0
 tokens                           | unlimited_quota            | boolean                  |                          | YES         | 
 tokens                           | model_limits_enabled       | boolean                  |                          | YES         | 
 tokens                           | model_limits               | text                     |                          | YES         | ''::character varying
 tokens                           | allow_ips                  | text                     |                          | YES         | ''::text
 tokens                           | used_quota                 | bigint                   |                          | YES         | 0
 tokens                           | group                      | text                     |                          | YES         | ''::text
 tokens                           | deleted_at                 | timestamp with time zone |                          | YES         | 
 tokens                           | cross_group_retry          | boolean                  |                          | YES         | false
 top_ups                          | id                         | bigint                   |                          | NO          | nextval('top_ups_id_seq'::regclass)
 top_ups                          | user_id                    | bigint                   |                          | YES         | 
 top_ups                          | amount                     | bigint                   |                          | YES         | 
 top_ups                          | money                      | numeric                  |                          | YES         | 
 top_ups                          | trade_no                   | character varying        |                      255 | YES         | 
